Quiz-1 Points Grade <Numeric MaxPoints:25 Weight:20 Category:Quiz CategoryWeight:25>,Quiz-2 Points Grade <Numeric MaxPoints:30 Weight:20 Category:Quiz CategoryWeight:25>,Quiz-3 Points Grade <Numeric MaxPoints:25 Weight:20 Category:Quiz CategoryWeight:25>,Quiz-4 Points Grade <Numeric MaxPoints:30 Weight:20 Category:Quiz CategoryWeight:25>,Quiz-5 Points Grade <Numeric MaxPoints:25 Weight:20 Category:Quiz CategoryWeight:25>,Assignment 1 Points Grade <Numeric MaxPoints:100 Weight:20 Category:Assignments CategoryWeight:25>,Assignment 2 Points Grade <Numeric MaxPoints:100 Weight:20 Category:Assignments CategoryWeight:25>,Assignment 3 Points Grade <Numeric MaxPoints:100 Weight:20 Category:Assignments CategoryWeight:25>,Assignment 4 Points Grade <Numeric MaxPoints:100 Weight:20 Category:Assignments CategoryWeight:25>,Assignment-5 Points Grade <Numeric MaxPoints:100 Weight:20 Category:Assignments CategoryWeight:25>,Midterm Points Grade <Numeric MaxPoints:100 Weight:25>,Final Exam Points Grade <Numeric MaxPoints:100 Weight:25>,WeightedTotal
18.5,27,15,21,20,100,100,100,97,60,98,64,82.05
,,5,,18,,98,90,100,40,72,64,55
23,26,25,26,20,100,120,100,100,120,80,92,92.26666667
24.5,27.5,21,30,25,100,95,100,,100,84,78,83.93333333
21,26,16,22,27,100,120,100,100,100,88,90,91.3
23,30,21,28,23,100,120,100,100,100,92,88,94.06666667
24,22,21,26,25,100,120,120,120,100,84,92,94
25,24.5,24,18,27,100,120,105,100,100,90,92,94.03333333
,,,,,100,120,75,,,54,,28.25
23,30,25,19.5,20,100,100,90,95,100,77,73,83.6
23.5,15,8,16,16,24,100,100,100,100,44,58,61.36666667
20,25.5,23,27.75,20,100,118,100,120,98,106,84,95.775
25,23,21,26,19,100,120,100,120,120,90,88,93.66666667
25,28,24,28,23,100,120,120,120,100,92,86,96.23333333
20,21,20,18,22,100,120,100,100,98,91,51,80.3
24.75,23,17,30,22,100,120,120,120,100,80,100,94.58333333
24.5,22.5,14,26,22,90,120,95,100,85,96,96,92.68333333
23.75,20,16,22,18,100,120,100,120,100,71,90,85.8
24.5,18.5,19,21,16,100,85,65,120,100,78,71,79.23333333
24,24.5,16,25.5,24,100,120,120,100,100,94,88,93.63333333
24.25,26,24,24,25,100,120,120,99,100,102,92,98.43333333
25,19.5,19,29,20,100,93,100,100,100,81,80,85.78333333
25,30,25,28,25,100,100,120,115,100,110,100,103.9166667
23.75,29.5,22,22,17,100,120,100,100,100,96,92,94.13333333
20,21,20,28,20,95,120,50,100,90,82,56,77.41666667
24,0,19,29,21,64,120,100,100,100,70,80,79.33333333
15.5,24,20,22,22,100,120,120,100,0,104,96,91.16666667
24.5,14.5,8.5,13,18,100,120,100,100,100,65,70,74.53333333
21,28,23,28,22,100,98,100,100,98,85,82,89.08333333
15,18.5,13,17,16,100,118,100,120,100,77,64,76.86666667
23.75,28,11,25,24,100,106,97,100,95,68,63,78.23333333
25,24,15,30,21,100,90,100,100,100,92,88,90.7
23.75,13,16.5,28,18,100,115,100,100,100,61,80,79.48333333
24.75,30,24,30,25,100,120,120,100,100,98,96,100.25
22.75,19.5,18,17,20,90,120,100,120,100,67,92,84.48333333
24,25,17,21.5,23,100,100,100,100,100,103,84,92.3
17,22.5,18,30,23,100,100,100,100,100,63,80,81.1
25,23,14.5,28,14,100,117,100,120,99,78,75,84.25
23.25,25,25,13,16,100,99,100,100,94,87,88,87.58333333
24.5,26,23,27.75,19,100,120,100,120,100,90,89,94.00833333
23.5,12,14,23,23,100,100,100,100,100,87,70,82.18333333
23.75,28,24,29,23,100,115,75,100,100,101,78,92.9
25,27.5,17.5,27,25,100,115,100,118,98,78,84,89.63333333
21.5,26,12,23.5,23,100,100,100,90,120,54,88,80.55
24.75,30,24,30,23,100,120,120,120,120,94,96,100.85
22.75,17.5,14.5,20,16,100,120,100,100,100,52,58,70.4
23.75,30,20.5,18,20,100,100,100,100,95,86,67,83.85
18,14.5,9,19,15,90,112,100,100,96,72,79,76.63333333
25,27.5,23,28,21,100,100,120,115,100,97,82,94.55
21,25,18,17,23,100,100,100,100,100,80,88,86.4
23.5,23,20,11,12,93,120,90,98,90,71,70,76.56666667
23.75,28,21.5,25,20,100,120,95,120,100,94,67,88.88333333
24,21.5,13.5,30,25,76,118,109,120,100,69,74,82.98333333
24.5,29.5,21.5,29.5,22,100,118,100,100,95,102,96,98.58333333
,26,20,28,18,100,100,100,76.75,100,83,84,82.1875
24,21,22.5,,21,100,118,98,117,96,76,55,76.2
21,22.5,19,22,25,100,115,100,100,100,92,86,90.66666667
23.25,13,10.5,19,19,100,120,120,120,100,57,82,78.63333333
25,30,25,30,27,100,120,120,120,120,102,92,102.9
25,21.5,24,21.5,17,100,120,100,100,100,90,76,87.86666667
24.5,24.5,25,28,22,100,118,109,120,120,96,94,98.9
25,27.5,19,25,25,100,115,100,100,100,93,80,91.55
15,14,9,26,,,100,,,,39,,26.21666667
23.5,17.5,18,,14,100,115,100,100,96,79,94,82.81666667
24.25,30,23,28,25,100,120,100,100,100,102,92,98.61666667
22.75,19,16.5,22,21,100,100,100,100,100,78,88,85.38333333
24,23.5,21,26,14,100,115,120,110,100,80,66,83.8
20.5,29.5,22,28,25,100,120,100,120,100,98,92,97.58333333
24.5,20,10.5,25,20,100,120,100,100,100,65,80,80.75
24,25,16,23.5,24,100,118,100,100,120,87,92,92.53333333
23,16.5,23,23.75,15,100,100,100,100,100,84,74,83.40833333
25,30,22,30,21,100,100,100,100,100,100,92,96.6
23.75,21,22,26,23,100,120,120,120,100,82,80,90.08333333
24.75,25,25,28,23,100,120,100,120,100,95,88,96.13333333
23.5,4.5,18,26,23,100,,100,100,100,66,90,76.98333333
19,19.5,19,28,21,100,100,100,100,100,95,93,91.86200717
14,10,12,25.5,17,97,104,94,115,100,48,75,71.03715651
22.5,28,19,27.5,21,98,114,100,119,100,84,84,90.34778973
19,23,24,23,22,36,120,120,120,117,83,87,88.94318996
17.5,13.5,14,19,17,100,118,100,102,109,50,58,68.76648746
19,13.5,25,24,0,98,111,97,0,86,60,80,69.82759857
8,11,13,17,19,100,118,100,114,100,41,62,65.37066906
17,17,16,26,17,98,99,93,120,115,75,85,83.60507766
18,23,22,22,27,100,98,100,100,55,102,77,88.44133811
15,17,22,23,15,96,116,97,100,100,86,85,85.48470729
16,17.5,16,0,0,100,84,91.5,107,100,69,69,68.1422043
18,22.5,14,25,25,99,94.4,97,100,100,70,80,81.48069295
22,15.5,14,15,18,78,120,117,107,89,88,77,82.80573477
24.5,20,24,21,17,91,98,97,96,97,88,75,84.69450418
15,27,21,19,17,100,118,97,92,100,80,62,79.28094385
15,18.5,15,20,17,100,100,88,87,81,78,78,77.82664277
16,18.5,20,23,23,90,120,100,120,100,84,92,89.41182796
21,24,19,22.5,22,99,109,78,116,95,84,58,80.59151732
16,18,22,22,20,100,118,100,102,109,82,69,82.66451613
19,16,8,20,17,97,94,65,120,115,56,68,70.51415771
20.5,27,17,27,27,100,120,100,100,94,100,98,97.1827957
22,25,25,30,23,100,119,120,118,95,89,92,96.08799283
20,21,23,22,17,9,115,99,104,81,94,78,82.68912784
23,26,23,28,22,85,85,94,79,77,106,81,90.40113501
13,25.5,21,24,11,95,85,65,73.6,95,87,73,78.13197133
19,21,20,29.5,22,0,0,0,105,62.4,76,78,67.62394265
17,19.5,18,25,19,99,109,87,116,95,84,71,82.4416368
18,15,15,21,15,100,94,95,92,60,65,49,66.33434887
16,22,19,30,20,100,99,100,98,100,80,91,87.44301075
23,25,22,23,22,91,98,97,100,98,91,79,88.15651135
20,19,23,26,24,100,111,94,100,120,102,86,94.28321386
22,28,25,28,22,77.6,120,76.8,120,99,98,88,94.35853047
0,0,13,9,13,100,111,94,100,120,46,73,62.7
16,24,18,24,20,98,120,120,89,90,68,82,82.3155914
12.5,26,22,24,24,100,120,97,100,63.2,89,100,91.5000239
25,29,25,30,27,100,120,115,120,115,110,97,105.4887097
22,26,22,26,21,100,120,115,120,115,94,88,95.73261649
17,21,11,18,20,100,116,63,116,88,66,56,70.91690562
18.5,22.5,22,22,15,78,120,117,107,89,86,74,84.20328554
21,30,24,28,27,100,116,100,102,100,105,74,94.77592593
25,30,23,25,25,100,120,120,120,117,105,97,103.1166667
22,29,25,28,27,100,116,112,112,110,93,94,98.59982079
0,17,22,21,17,98,118,100,110,100,64,67,73.25322581
25,28,25,24,27,100,120,120,98,100,110,96,102.4774194
0,11.5,17,21,11,62.4,63,18,60,42.6,68,92,63.41612903
23,22,22,29,27,76.8,99,74.4,94,80,81,87,86.18264038
23,29.5,25,30,27,100,120,120,120,119,98,98,102.8989845
22.5,24,24,30,22,100,120,120,120,108,93,93,97.6692951
18,13,11,16,19,98,78.4,97,100,63.2,56,81,70.70843489
25,29,25,30,27,90,120,100,120,100,110,100,104.2387097
23,17,23,26,21,100,118,100,114,100,72,76,84.26618877
21,15.5,18,28,17,98,100,100,115,90,75,74,80.98721625
13,26,21,15,20,100,119,120,118,95,89,78,87.18261649
17,25,24,23,19,84,111,97,100,86,101,74,87.79540024
23,27,25,23,27,100,120,120,120,119,106,100,103.829092
17,21.5,18,21.5,17,96,116,97,100,100,76,80,82.18088411
15,23.5,21,0,21,94,120,98,120,99,78,85,82.79976105
23,22,18,26,27,99,118,94,117,115,106,94,98.82264038
22.5,30,25,23,25,100,120,91,98,100,110,96,100.3203704
13,15,18,21,18,100,120,100,116,112,82,70,81.45842294
23,23,23,22,26,100,120,91,98,100,102,69,90.16726404
0,28.18181818,23,26,22,71.8,100,97,100,99,80,88,85.21327273
25,30,23,27,25,100,96.5,100,100,100,91,92,94.755
23,25.45454545,19,20,19,100,94.5,100,94.5,99,88,83,87.80818182
25,30,23,30,22,95.1,90,100,100,95.5,85,74,87.732
25,30,23,30,25,100,100,100,100,94,87,84,92.03
18,26.36363636,23,30,19,80,96.5,100,97,75,84,78,84.27954546
23,30,19,30,18,100,100,100,100,99,86,98,93.89
25,28.18181818,25,23,23,97.3,92.5,100,90,100,92,82,90.52327273
25,24.54545455,25,27,22,100,91.5,94,95,95,85,84,88.90681818
23,30,25,28,25,100,97,100,100,100,96,92,96.19
25,30,23,30,23,100,86,56,83.5,79.2,74,97,85.539
25,23.63636364,25,18,14,75.1,96.5,95,88.5,96,77,83,82.50245455
25,30,23,30,23,100,100,100,100,100,91,80,92.21
25,30,22,30,25,100,96.5,100,100,98,92,90,94.665
23,0,23,22,14,0,0,0,0,0,78,49,40.63
17,21.81818182,18,23,11,80,43.8,88,0,0,80,84,64.61872727
17,30,17,23,14,100,89.5,70,40.2,98.5,81,82,78.854
25,28.18181818,25,30,22,100,96.5,100,100,100,99,96,97.87227273
23,30,23,30,18,100,100,100,100,99,89,98,95.24
25,30,24,23,23,97.3,92.5,100,90,100,96,86,92.646
20,22.09090909,23,30,18,100,0,0,99,100,90,85,76.60363636
23,0,25,28,20,100,91,98,80,100,92,92,89.63
21,24.54545455,20.67,28,18,100,75.6,100,95,99,73,82,83.41431818
23,30,23,28,21,80,100,80,100,88,90,94,90.98
25,27.27272727,23,27,23,100,96.5,94,93,97,95,93,94.23590909
25,28.18181818,25,30,25,100,100,100,100,100,94,94,96.72727273
21,27.27272727,23,20,21,100,86.5,100,98,99,76,90,87.05590909
23,30,25,30,20,100,100,95,95,100,83,74,87.65
23,24.54545455,21,30,18,100,86,56,83.5,79.2,84,98,86.27081818
17,30,17,23,16,100,89.5,70,40.2,98.5,86,86,81.344
25,27.27272727,25,27,23,100,96.5,94,93,97,96,96,95.53590909
25,27.27272727,25,27,23,74.8,91.5,97,94,93,79,94,88.67190909
25,27.27272727,22.67,28,21,100,100,100,96,99,92,96,95.11140909
23,25.45454545,22,26,23,95.5,100,100,98,100,96,100,96.27318182
23,26.36363636,25,25,21,80,100,80,100,88,90,78,86.28454546
23,25.45454545,25,26,22,100,93.2,100,95,99,91,100,94.91218182
23,26.36363636,19,27,11,91,96.5,100,100,95,94,80,88.39954546
19,27.27272727,19.67,21,4,100,100,100,96,100,56,82,78.24140909
25,29.09090909,25,28,22,100,69.2,99,99,100,87,94,92.15763636
23,27.27272727,14.67,26,21,100,94.5,100,94.5,99,83,80,86.57140909
25,28.18181818,25,30,19,100,82.5,100,97,100,78,82,87.57227273
25,30,23,30,25,100,96.5,97,96,100,92,90,94.465
22,30,25,30,19,64.3,30,95,98,100,95,94,88.191
22,22.72727273,23,28,18,66.32,69.2,100,100,90,86,90,85.80549091
20,25.45454545,21,27,20,100,84.5,82,87,89,81,90,85.64318182
19,30,19,30,15,100,73.5,100,90,99,84,82,85.875
23,26.36363636,22,28,25,80,96.5,100,100,98,82,95,90.86954546
25,28.18181818,22,28,22,100,96.5,100,98,99,94,92,94.66227273
23,27.27272727,21,28,25,80,96.5,100,100,98,87,96,92.35590909
25,27.27272727,23,27,23,74.8,91.5,97,94,93,92,94,91.62190909
22,21.81818182,25,25,22,97,96.5,90,90,100,96,100,94.35772727
25,28.18181818,22.67,28,18,100,100,99,100,100,97,93,95.66777273
21,25,23,27,18,80,86.5,100,98,99,71,90,84.755
23,28.18181818,17,25,21,100,96.5,97,100,100,92,80,89.54227273
19,30,21,27,18,80,96.5,0,77.6,0,81,90,72.747
23,23.63636364,25,30,21.5,93.1,95,70,52,70.8,63,71,73.48845455
23,30,24,24,25,100,96.5,100,100,100,93,90,94.155
13,29.09090909,20.5,22,23,100,94.5,100,95,98,75,80,83.82363636
15,26.36363636,25,30,21,31.44,80,100,90,76,84,82,80.39534546
25,30,23,30,25,100,96.5,100,100,98,92,90,94.815
22,27.27272727,19,22,16,91,96.5,100,100,95,81,90,87.48590909
25,30,23,30,20,100,96.5,100,95,99,80,96,92.435
25,30,23,30,25,100,96.5,99,96,100,96,88,95.105
25,22.72727273,20,30,10.5,80,30,100,71,58,77,80,74.39909091
22,20.90909091,20,28,13,66.32,69.2,100,100,90,85,88,83.73276364
21.5,30,17,24,0,100,83.5,98,91,96.5,84,90,85.705
25,28.18181818,24,30,25,100,96.5,100,100,100,99,96,98.08227273
23,27.27272727,21,30,18,100,100,100,100,93,87,98,93.61090909
22,30,23,28,23,135,100,100,99,100,99,90,97.52636364
14,30,20,18,0,90,100,100,98,100,62,60,70.18
25,29.63636364,21,26,24,135,100,96,100,100,100,100,100.0054545
25,27.45454545,25,30,25,125,100,100,100,100,97,88,97.24090909
21,16.69090909,15,28,0,110,100,95.5,78,47,65,80,72.21818182
19,27.45454545,18.5,20,14,100,77,100,90,100,72,90,81.51090909
20,30,13.5,28,18,109.8,100,69,100,100,93,94,90.50527273
24,30,21,26,22,135,100,100,99,100,77,94,92.44454546
9,28.18181818,12.75,26,17,110,80,53.4,70.4,78.4,59,44,61.01381818
22,24.18181818,21,30,21,100,84,100,100,100,76,84,85.74909091
